,target_name,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,best_max_depth,best_min_samples_split,best_n_estimators
S_CD8_Tcells,S_CD8_Tcells,0.560292092586218,0.03317826986011174,0.006603403294781111,0.009804852188921999,0.005240764094705366,0.007888167404043576,10.0,10,200
S_Th17,S_Th17,0.39836382277802185,-0.0410208737894453,0.026726592357321836,0.03468034228951256,0.01928288382310899,0.025448470959939715,10.0,10,100
S_Treg,S_Treg,0.6353535123392944,0.11065530905624865,0.02292861995969552,0.036841051344473956,0.017711393210771472,0.02807186963950896,10.0,10,200
S_Tgd,S_Tgd,0.4009582009623369,-0.06962728760674919,0.04288687124722714,0.06339182237342078,0.026824564131737474,0.04059909307721177,10.0,10,300
S_Cytotoxic_cells,S_Cytotoxic_cells,0.6142870004021384,0.07129934137894589,0.0226435926449158,0.035750890142241136,0.01803476011322758,0.026347483695597782,10.0,10,300
S_NK_cells,S_NK_cells,0.5312927889931434,-0.057963428698487585,0.008722783275197654,0.014452287227041666,0.006553840118061425,0.010150691533682928,10.0,10,200
S_NK_cd56dim,S_NK_cd56dim,0.5813128320749693,0.06134801995058203,0.036800182096986815,0.057672568663633676,0.029498638815260998,0.04846271060999526,10.0,10,200
S_NK_cd56bright,S_NK_cd56bright,0.6011618826145391,0.12236718198809216,0.02472586408546127,0.03870569820227123,0.019580504222027027,0.030091965493838396,10.0,10,200
S_DC,S_DC,0.609154408878144,-0.009635975915865291,0.022263513050039273,0.036454582841827066,0.017037012454866312,0.027564610034042186,10.0,10,300
S_iDC,S_iDC,0.6206238037949375,0.062116602188274306,0.01166296626100212,0.018406730752004538,0.009005584635110296,0.014534315177311876,10.0,10,200
S_aDC,S_aDC,0.5802165694355925,-0.04492630712309498,0.027061131805419296,0.040943621900701534,0.0215634104831074,0.032338367173221416,10.0,10,200
S_pDC,S_pDC,0.5568495496358112,0.09126273733631196,0.020764168044177075,0.0280622394658672,0.015568546337172444,0.019905095154556924,10.0,10,300
S_Eosinophils,S_Eosinophils,0.5117507188235936,0.03916241114513008,0.011689100919635008,0.017615772827430324,0.009139793106246767,0.013795745898178658,10.0,10,200
